5514027	eng	You can't smoke in school.
5514029	eng	It was a difficult game.
5514030	eng	Tom rested for a moment.
5514038	eng	Tom has a pretty girlfriend.
5514040	eng	Does Tom live in Boston?
5514058	eng	We have very high standards.
5514062	eng	We haven't had any problems.
5514064	eng	We haven't seen this before.
5514121	eng	Tom's death shocked the community.
5514125	eng	Tom would've been extremely angry.
5514188	eng	There's a full moon today.
5514195	eng	I'm sorry for reproaching you.
5514204	eng	His intentions were really impenetrable.
5515331	eng	It will be hot today.
5515389	eng	My salary is very low.
5515391	eng	She's terribly nervous, never calm.
5515417	eng	My native language is Hungarian.
5515484	eng	I'll give you my car.
5516039	eng	Don't be afraid, I'm here.
5516220	eng	You waited for me? Thanks!
5516221	eng	She's the boss around here.
5516226	eng	Let's have a little fun.
5516244	eng	Were you up all night?
5516253	eng	We weren't wasting our time.
5516255	eng	We won't know until October.
5516277	eng	We'll forgive you this time.
5516281	eng	We're all hoping it happens.
5516312	eng	Tom should've done that yesterday.
5516313	eng	We're both very, very lucky.
5516559	eng	Please write a complete sentence.
5516710	eng	We're not prepared for that.
5516787	eng	We're proud of our children.
5516789	eng	We're real excited about it.
5516929	eng	Thank God you found me.
5516959	eng	Afghanistan is a landlocked country.
5516961	eng	This country is very poor.
5517000	eng	We've all been there before.
5517002	eng	We've already learned a lot.
5517091	eng	This can resist any criticism.
5517167	eng	I don't trust Tom anymore.
5517171	eng	I can't trust anyone anymore.
5517230	eng	We've had lot of complaints.
5517468	eng	You should find a job.
5517531	eng	You're much smarter than me.
5518317	eng	Who else have you asked?
5518720	eng	We have almost 300 employees.
5518845	eng	Tom has very high expectations.
5519202	eng	This can't possibly be happening.
5519212	eng	You shouldn't have invited him.
5519279	eng	I call the computer "Tim".
5519286	eng	Why is life so hard?
5519581	eng	Tom started packing his suitcase.
5519582	eng	We haven't achieved much yet.
5519700	eng	He will never make this.
5519754	eng	I got an anonymous tip.
5519758	eng	They got an anonymous tip.
5519759	eng	He got an anonymous tip.
5519760	eng	She got an anonymous tip.
5519761	eng	We got an anonymous tip.
5520474	eng	You've got it all wrong.
5520478	eng	This is my home now.
5520480	eng	Boston is my home now.
5520532	eng	That's not my strong suit.
5520566	eng	I worry about her too.
5520670	eng	Tom made a papier-mâché sculpture.
5520676	eng	Tom made a papier-mâché mask.
5520682	eng	That will be ten dollars.
5520696	eng	So, will you do it?
5520885	eng	Tom is always breaking things.
5521094	eng	This scholar studies ancient manuscripts.
5521159	eng	What was he doing exactly?
5521160	eng	What was Tom doing exactly?
5521161	eng	What was she doing exactly?
5521256	eng	We need to find alternatives.
5521329	eng	Mary pushed his hand away.
5521330	eng	Tom pushed her hand away.
5521337	eng	You promised you would come.
5521354	eng	You promised you'd be there.
5521373	eng	Tom has a Pikachu cushion.
5521386	eng	We shouldn't expect too much.
5521393	eng	Tom will play baseball tomorrow.
5521456	eng	We work really well together.
5521461	eng	I'm not a student either.
5521477	eng	Tom showed Mary another picture.
5522533	eng	Tom pretended everything was OK.
5522535	eng	Tom predicted that would happen.
5522691	eng	We're getting ready for that.
5522783	eng	We're not doing anything now.
5523288	eng	Thank you for mentioning this.
5523458	eng	I don't want to interrupt.
5523470	eng	You don't snore, do you?
5523548	eng	It's just a stupid rumor.
5523918	eng	Tom's death broke Mary's heart.
5523923	eng	We've been very good friends.
5523925	eng	We've come to an arrangement.
5524537	eng	We've learned that that's OK.
5524541	eng	We've never been here before.
5524826	eng	We've never done that before.
5524828	eng	What happened to your guitar?
5524829	eng	Tom usually won't speak French.
5525520	eng	Tom lost his wedding ring.
5525571	eng	Tom threatened to kill himself.
5525576	eng	You'd better not tell anyone.
5525579	eng	Tom started screaming for help.
5525673	eng	Tom stabbed Mary with scissors.
5525678	eng	We don't have school tomorrow.
5525679	eng	Tom should've gotten a warning.
5526298	eng	My computer is running slow.
5526877	eng	The peasants are planting rice.
5526890	eng	Tom can't work this evening.
5526986	eng	Tom practices every single day.
5528538	eng	I'm not in on Sunday.
5528543	eng	He's as tall as me.
5529140	eng	Tom went to math camp.
5529147	eng	Mary is a math nerd.
5529150	eng	Tom is a data scientist.
5529151	eng	Tom is a math nerd.
5529349	eng	You should diversify your portfolio.
5529401	eng	Tom never finished high school.
5529410	eng	We haven't had any complaints.
5529413	eng	This is just a game.
5529450	eng	We haven't heard anything yet.
5529763	eng	Why wasn't Tom here yesterday?
5530173	eng	We know everything about that.
5530226	eng	Tom wrote the message himself.
5530230	eng	Tom worked for Mary's husband.
5530666	eng	What's the point of school?
5530668	eng	Tom is a celebrity chef.
5530738	eng	You don't pull any punches.
5531102	eng	You always have a choice.
5531210	eng	Tom is a marketing consultant.
5531398	eng	His success met some eclipses.
5531528	eng	Tom wanted to protect himself.
5531617	eng	We need some more information.
5531624	eng	Tom walked into the courtroom.
5531644	eng	How much do eggs cost?
5531765	eng	I think she likes him.
5531766	eng	I think he likes her.
5531773	eng	Tom waited for thirty minutes.
5531775	eng	Tom visited Australia in 2013.
